24.03.2020 13:16:28.582 [main] INFO  ru.liga.App - G3: 41
24.03.2020 13:16:28.585 [main] INFO  ru.liga.App - F3: 29
24.03.2020 13:16:28.585 [main] INFO  ru.liga.App - G4: 14
24.03.2020 13:16:28.586 [main] INFO  ru.liga.App - E3: 21
24.03.2020 13:16:28.586 [main] INFO  ru.liga.App - F4: 22
24.03.2020 13:16:28.586 [main] INFO  ru.liga.App - D3: 14
24.03.2020 13:16:28.587 [main] INFO  ru.liga.App - E4: 21
24.03.2020 13:16:28.588 [main] INFO  ru.liga.App - D4: 22
24.03.2020 13:16:28.588 [main] INFO  ru.liga.App - A#2: 1
24.03.2020 13:16:28.589 [main] INFO  ru.liga.App - A#3: 52
24.03.2020 13:16:28.589 [main] INFO  ru.liga.App - C4: 37
24.03.2020 13:16:28.590 [main] INFO  ru.liga.App - A3: 24
24.03.2020 13:16:28.594 [main] INFO  ru.liga.App - C#3: 6
24.03.2020 13:16:28.598 [main] INFO  ru.liga.App - C#4: 35
24.03.2020 13:16:28.598 [main] INFO  ru.liga.App - D#4: 16
24.03.2020 13:16:28.599 [main] INFO  ru.liga.App - D#3: 2
24.03.2020 13:16:28.600 [main] INFO  ru.liga.App - G#3: 38
24.03.2020 13:16:28.600 [main] INFO  ru.liga.App - F#4: 1
24.03.2020 13:16:28.601 [main] INFO  ru.liga.App - F#3: 10
24.03.2020 13:16:28.601 [main] INFO  ru.liga.App - G#4: 8
